time,disp_y_top,stressyy
0.0063182421874998,0.012636484375,0.00090313567170316
0.0063682421874998,0.012736484375,0.00090103262606198
0.0064182421874998,0.012836484375,0.0008988752578535
0.0064682421874998,0.012936484375,0.00089666647100886
0.0065182421874998,0.013036484375,0.00089440935146818
0.0065682421874998,0.013136484375,0.0008920798129237
0.0066182421874998,0.013236484375,0.00088962326064061
0.0066682421874998,0.013336484375,0.00088708249667943
0.0067182421874998,0.013436484375,0.00088442378211379
0.0067682421874998,0.013536484375,0.00088169258809228
0.0068182421874998,0.013636484375,0.0008788973699777
0.0068682421874998,0.013736484375,0.00087602374830489
0.0069182421874998,0.013836484375,0.00087307347465152
0.0069682421874998,0.013936484375,0.00087005639012767
0.0070182421874998,0.014036484375,0.00086696231692684
0.0070682421874998,0.014136484375,0.00086379215171186
